date,organization,city,year,month,day,dayofweek,hour,month_sin,month_cos,hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,тип_опт,тип_розница,city_mean_sales,city_std_sales,city_order_count,city_sales_share,Цена,Сумма,vat,date_only,avg_temperature,min_temperature,max_temperature,avg_humidity,avg_pressure,avg_wind_speed,daily_precipitation,macro_inflation,key_rate,usd_rate,eur_rate,inflation_rate_monthly,inflation_rate_yearly,total_population,male_population,female_population,amount_lag_1,amount_lag_7,amount_lag_30,amount_rolling_mean_7,amount_rolling_std_7,amount_rolling_mean_14,amount_rolling_std_14,amount_rolling_mean_30,amount_rolling_std_30,season,quarter,day_of_year,region,salary_trend_slope,salary_trend_slope_pct,salary_avg_annual_growth,salary_growth_3y,salary_total_growth,salary_volatility,salary_cv,salary_last_known,salary_last_year,salary_first_known,salary_first_year,salary_avg,salary_min,salary_max,salary_forecast_next,trend_name,trend_Кварк,trend_Молоко,trend_Намазка,trend_Сливочное масло,trend_Сметана,trend_Сыр,trend_йогурт,trend_кефир,Год,Месяц,День_месяца,День_недели,Час,Неделя_года,Месяц_sin,Месяц_cos,День_недели_sin,День_недели_cos,Час_sin,Час_cos,Выходной,Количество_лаг_1час,Количество_лаг_3час,Количество_лаг_6час,Количество_лаг_12час,Количество_лаг_24час,Количество_лаг_168час,Количество_среднее_3ч,Количество_среднее_6ч,Количество_среднее_12ч,Количество_среднее_24ч,org_mean_sales,org_std_sales,kontr_mean_sales,kontr_std_sales,city_total_sales,city_rank,city_top_Самара,city_top_Шымкент,city_top_Ставрополь,city_top_Оренбург,city_top_Стаханов,тип_мелкая_розница,forecast
2026-03-22 11:00:00,"ООО ""7 Утра""",Брянск,2026,3,22,6,11,1.0,6.123233995736766e-17,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,1,0,1,36.0,0.0,9.0,0.05357142857142857,0.0,0.0,1524.7254166666664,0.0,-2.218452405672343,-2.222619072268052,-2.2142857390766344,80.75,1022.6577380952381,3.092344573565892,0.9750000073884925,,,,,6.009999999999999,1.6200000000000006,290318692.0,134884318.0,155434374.0,8512.237142857142,8547.085714285715,9950.607142857143,8514.400204081632,7653.827315890567,8835.478265306123,10692.708102414223,9423.594547619048,13990.357176707295,0.0,1.0,65.08928571428571,0.0,24680.229839077852,6.904149245605659,7.789513368284899,28.11158066535151,110.12194540668168,81293.27828264359,0.2271512257851922,533975.3098053235,2023.0,254049.5262820513,2013.0,356761.7907925408,254049.5262820513,534131.6897435897,558823.0064044289,0.0,57.91743668720054,86.43891170431213,73.6972963723477,76.79046885694727,68.59650924024639,78.28961327857633,49.07315195071868,68.33966461327857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00091552734375
2026-03-22 14:00:00,"ООО ""7 Утра""",Брянск,2026,3,22,6,14,1.0,6.123233995736766e-17,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,1,0,1,36.0,0.0,9.0,0.05357142857142857,0.0,0.0,1524.7254166666664,0.0,-2.218452405672343,-2.222619072268052,-2.2142857390766344,80.75,1022.6577380952381,3.092344573565892,0.9750000073884925,,,,,6.009999999999999,1.6200000000000006,290318692.0,134884318.0,155434374.0,8512.237142857142,8547.085714285715,9950.607142857143,8514.400204081632,7653.827315890567,8835.478265306123,10692.708102414223,9423.594547619048,13990.357176707295,0.0,1.0,65.08928571428571,0.0,24680.229839077852,6.904149245605659,7.789513368284899,28.11158066535151,110.12194540668168,81293.27828264359,0.2271512257851922,533975.3098053235,2023.0,254049.5262820513,2013.0,356761.7907925408,254049.5262820513,534131.6897435897,558823.0064044289,0.0,57.91743668720054,86.43891170431213,73.6972963723477,76.79046885694727,68.59650924024639,78.28961327857633,49.07315195071868,68.33966461327857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00091552734375
2026-03-22 17:00:00,"ООО ""7 Утра""",Брянск,2026,3,22,6,17,1.0,6.123233995736766e-17,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,1,0,1,36.0,0.0,9.0,0.05357142857142857,0.0,0.0,1524.7254166666664,0.0,-2.218452405672343,-2.222619072268052,-2.2142857390766344,80.75,1022.6577380952381,3.092344573565892,0.9750000073884925,,,,,6.009999999999999,1.6200000000000006,290318692.0,134884318.0,155434374.0,8512.237142857142,8547.085714285715,9950.607142857143,8514.400204081632,7653.827315890567,8835.478265306123,10692.708102414223,9423.594547619048,13990.357176707295,0.0,1.0,65.08928571428571,0.0,24680.229839077852,6.904149245605659,7.789513368284899,28.11158066535151,110.12194540668168,81293.27828264359,0.2271512257851922,533975.3098053235,2023.0,254049.5262820513,2013.0,356761.7907925408,254049.5262820513,534131.6897435897,558823.0064044289,0.0,57.91743668720054,86.43891170431213,73.6972963723477,76.79046885694727,68.59650924024639,78.28961327857633,49.07315195071868,68.33966461327857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00091552734375
2026-03-22 20:00:00,"ООО ""7 Утра""",Брянск,2026,3,22,6,20,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,0,1,36.0,0.0,9.0,0.05357142857142857,0.0,0.0,1524.7254166666664,0.0,-2.218452405672343,-2.222619072268052,-2.2142857390766344,80.75,1022.6577380952381,3.092344573565892,0.9750000073884925,,,,,6.009999999999999,1.6200000000000006,290318692.0,134884318.0,155434374.0,8512.237142857142,8547.085714285715,9950.607142857143,8514.400204081632,7653.827315890567,8835.478265306123,10692.708102414223,9423.594547619048,13990.357176707295,0.0,1.0,65.08928571428571,0.0,24680.229839077852,6.904149245605659,7.789513368284899,28.11158066535151,110.12194540668168,81293.27828264359,0.2271512257851922,533975.3098053235,2023.0,254049.5262820513,2013.0,356761.7907925408,254049.5262820513,534131.6897435897,558823.0064044289,0.0,57.91743668720054,86.43891170431213,73.6972963723477,76.79046885694727,68.59650924024639,78.28961327857633,49.07315195071868,68.33966461327857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00091552734375
2026-03-22 08:00:00,@@@,Брянск,2026,3,22,6,8,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1,0,1,36.0,0.0,9.0,0.05357142857142857,0.0,0.0,1524.7254166666664,0.0,-2.218452405672343,-2.222619072268052,-2.2142857390766344,80.75,1022.6577380952381,3.092344573565892,0.9750000073884925,,,,,6.009999999999999,1.6200000000000006,290318692.0,134884318.0,155434374.0,8512.237142857142,8547.085714285715,9950.607142857143,8514.400204081632,7653.827315890567,8835.478265306123,10692.708102414223,9423.594547619048,13990.357176707295,0.0,1.0,65.08928571428571,0.0,24680.229839077852,6.904149245605659,7.789513368284899,28.11158066535151,110.12194540668168,81293.27828264359,0.2271512257851922,533975.3098053235,2023.0,254049.5262820513,2013.0,356761.7907925408,254049.5262820513,534131.6897435897,558823.0064044289,0.0,57.91743668720054,86.43891170431213,73.6972963723477,76.79046885694727,68.59650924024639,78.28961327857633,49.07315195071868,68.33966461327857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00091552734375
2026-03-22 11:00:00,@@@,Брянск,2026,3,22,6,11,1.0,6.123233995736766e-17,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,1,0,1,36.0,0.0,9.0,0.05357142857142857,0.0,0.0,1524.7254166666664,0.0,-2.218452405672343,-2.222619072268052,-2.2142857390766344,80.75,1022.6577380952381,3.092344573565892,0.9750000073884925,,,,,6.009999999999999,1.6200000000000006,290318692.0,134884318.0,155434374.0,8512.237142857142,8547.085714285715,9950.607142857143,8514.400204081632,7653.827315890567,8835.478265306123,10692.708102414223,9423.594547619048,13990.357176707295,0.0,1.0,65.08928571428571,0.0,24680.229839077852,6.904149245605659,7.789513368284899,28.11158066535151,110.12194540668168,81293.27828264359,0.2271512257851922,533975.3098053235,2023.0,254049.5262820513,2013.0,356761.7907925408,254049.5262820513,534131.6897435897,558823.0064044289,0.0,57.91743668720054,86.43891170431213,73.6972963723477,76.79046885694727,68.59650924024639,78.28961327857633,49.07315195071868,68.33966461327857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00091552734375
2026-03-22 14:00:00,@@@,Брянск,2026,3,22,6,14,1.0,6.123233995736766e-17,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,1,0,1,36.0,0.0,9.0,0.05357142857142857,0.0,0.0,1524.7254166666664,0.0,-2.218452405672343,-2.222619072268052,-2.2142857390766344,80.75,1022.6577380952381,3.092344573565892,0.9750000073884925,,,,,6.009999999999999,1.6200000000000006,290318692.0,134884318.0,155434374.0,8512.237142857142,8547.085714285715,9950.607142857143,8514.400204081632,7653.827315890567,8835.478265306123,10692.708102414223,9423.594547619048,13990.357176707295,0.0,1.0,65.08928571428571,0.0,24680.229839077852,6.904149245605659,7.789513368284899,28.11158066535151,110.12194540668168,81293.27828264359,0.2271512257851922,533975.3098053235,2023.0,254049.5262820513,2013.0,356761.7907925408,254049.5262820513,534131.6897435897,558823.0064044289,0.0,57.91743668720054,86.43891170431213,73.6972963723477,76.79046885694727,68.59650924024639,78.28961327857633,49.07315195071868,68.33966461327857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00091552734375
2026-03-22 17:00:00,@@@,Брянск,2026,3,22,6,17,1.0,6.123233995736766e-17,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,1,0,1,36.0,0.0,9.0,0.05357142857142857,0.0,0.0,1524.7254166666664,0.0,-2.218452405672343,-2.222619072268052,-2.2142857390766344,80.75,1022.6577380952381,3.092344573565892,0.9750000073884925,,,,,6.009999999999999,1.6200000000000006,290318692.0,134884318.0,155434374.0,8512.237142857142,8547.085714285715,9950.607142857143,8514.400204081632,7653.827315890567,8835.478265306123,10692.708102414223,9423.594547619048,13990.357176707295,0.0,1.0,65.08928571428571,0.0,24680.229839077852,6.904149245605659,7.789513368284899,28.11158066535151,110.12194540668168,81293.27828264359,0.2271512257851922,533975.3098053235,2023.0,254049.5262820513,2013.0,356761.7907925408,254049.5262820513,534131.6897435897,558823.0064044289,0.0,57.91743668720054,86.43891170431213,73.6972963723477,76.79046885694727,68.59650924024639,78.28961327857633,49.07315195071868,68.33966461327857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00091552734375
2026-03-22 20:00:00,@@@,Брянск,2026,3,22,6,20,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,0,1,36.0,0.0,9.0,0.05357142857142857,0.0,0.0,1524.7254166666664,0.0,-2.218452405672343,-2.222619072268052,-2.2142857390766344,80.75,1022.6577380952381,3.092344573565892,0.9750000073884925,,,,,6.009999999999999,1.6200000000000006,290318692.0,134884318.0,155434374.0,8512.237142857142,8547.085714285715,9950.607142857143,8514.400204081632,7653.827315890567,8835.478265306123,10692.708102414223,9423.594547619048,13990.357176707295,0.0,1.0,65.08928571428571,0.0,24680.229839077852,6.904149245605659,7.789513368284899,28.11158066535151,110.12194540668168,81293.27828264359,0.2271512257851922,533975.3098053235,2023.0,254049.5262820513,2013.0,356761.7907925408,254049.5262820513,534131.6897435897,558823.0064044289,0.0,57.91743668720054,86.43891170431213,73.6972963723477,76.79046885694727,68.59650924024639,78.28961327857633,49.07315195071868,68.33966461327857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00091552734375
2026-03-22 08:00:00,"ООО ""7 Утра""",Великие Луки,2026,3,22,6,8,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1,0,1,120.0,0.0,3.0,0.017857142857142856,0.0,0.0,1524.7254166666664,0.0,-2.218452405672343,-2.222619072268052,-2.2142857390766344,80.75,1022.6577380952381,3.092344573565892,0.9750000073884925,,,,,6.009999999999999,1.6200000000000006,290318692.0,134884318.0,155434374.0,8512.237142857142,8547.085714285715,9950.607142857143,8514.400204081632,7653.827315890567,8835.478265306123,10692.708102414223,9423.594547619048,13990.357176707295,0.0,1.0,65.08928571428571,0.0,24680.229839077852,6.904149245605659,7.789513368284899,28.11158066535151,110.12194540668168,81293.27828264359,0.2271512257851922,533975.3098053235,2023.0,254049.5262820513,2013.0,356761.7907925408,254049.5262820513,534131.6897435897,558823.0064044289,0.0,57.91743668720054,86.43891170431213,73.6972963723477,76.79046885694727,68.59650924024639,78.28961327857633,49.07315195071868,68.33966461327857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00091552734375
2026-03-22 11:00:00,"ООО ""7 Утра""",Великие Луки,2026,3,22,6,11,1.0,6.123233995736766e-17,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,1,0,1,120.0,0.0,3.0,0.017857142857142856,0.0,0.0,1524.7254166666664,0.0,-2.218452405672343,-2.222619072268052,-2.2142857390766344,80.75,1022.6577380952381,3.092344573565892,0.9750000073884925,,,,,6.009999999999999,1.6200000000000006,290318692.0,134884318.0,155434374.0,8512.237142857142,8547.085714285715,9950.607142857143,8514.400204081632,7653.827315890567,8835.478265306123,10692.708102414223,9423.594547619048,13990.357176707295,0.0,1.0,65.08928571428571,0.0,24680.229839077852,6.904149245605659,7.789513368284899,28.11158066535151,110.12194540668168,81293.27828264359,0.2271512257851922,533975.3098053235,2023.0,254049.5262820513,2013.0,356761.7907925408,254049.5262820513,534131.6897435897,558823.0064044289,0.0,57.91743668720054,86.43891170431213,73.6972963723477,76.79046885694727,68.59650924024639,78.28961327857633,49.07315195071868,68.33966461327857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00091552734375
2026-03-22 14:00:00,"ООО ""7 Утра""",Великие Луки,2026,3,22,6,14,1.0,6.123233995736766e-17,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,1,0,1,120.0,0.0,3.0,0.017857142857142856,0.0,0.0,1524.7254166666664,0.0,-2.218452405672343,-2.222619072268052,-2.2142857390766344,80.75,1022.6577380952381,3.092344573565892,0.9750000073884925,,,,,6.009999999999999,1.6200000000000006,290318692.0,134884318.0,155434374.0,8512.237142857142,8547.085714285715,9950.607142857143,8514.400204081632,7653.827315890567,8835.478265306123,10692.708102414223,9423.594547619048,13990.357176707295,0.0,1.0,65.08928571428571,0.0,24680.229839077852,6.904149245605659,7.789513368284899,28.11158066535151,110.12194540668168,81293.27828264359,0.2271512257851922,533975.3098053235,2023.0,254049.5262820513,2013.0,356761.7907925408,254049.5262820513,534131.6897435897,558823.0064044289,0.0,57.91743668720054,86.43891170431213,73.6972963723477,76.79046885694727,68.59650924024639,78.28961327857633,49.07315195071868,68.33966461327857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00091552734375
2026-03-22 17:00:00,"ООО ""7 Утра""",Великие Луки,2026,3,22,6,17,1.0,6.123233995736766e-17,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,1,0,1,120.0,0.0,3.0,0.017857142857142856,0.0,0.0,1524.7254166666664,0.0,-2.218452405672343,-2.222619072268052,-2.2142857390766344,80.75,1022.6577380952381,3.092344573565892,0.9750000073884925,,,,,6.009999999999999,1.6200000000000006,290318692.0,134884318.0,155434374.0,8512.237142857142,8547.085714285715,9950.607142857143,8514.400204081632,7653.827315890567,8835.478265306123,10692.708102414223,9423.594547619048,13990.357176707295,0.0,1.0,65.08928571428571,0.0,24680.229839077852,6.904149245605659,7.789513368284899,28.11158066535151,110.12194540668168,81293.27828264359,0.2271512257851922,533975.3098053235,2023.0,254049.5262820513,2013.0,356761.7907925408,254049.5262820513,534131.6897435897,558823.0064044289,0.0,57.91743668720054,86.43891170431213,73.6972963723477,76.79046885694727,68.59650924024639,78.28961327857633,49.07315195071868,68.33966461327857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00091552734375
2026-03-22 20:00:00,"ООО ""7 Утра""",Великие Луки,2026,3,22,6,20,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,0,1,120.0,0.0,3.0,0.017857142857142856,0.0,0.0,1524.7254166666664,0.0,-2.218452405672343,-2.222619072268052,-2.2142857390766344,80.75,1022.6577380952381,3.092344573565892,0.9750000073884925,,,,,6.009999999999999,1.6200000000000006,290318692.0,134884318.0,155434374.0,8512.237142857142,8547.085714285715,9950.607142857143,8514.400204081632,7653.827315890567,8835.478265306123,10692.708102414223,9423.594547619048,13990.357176707295,0.0,1.0,65.08928571428571,0.0,24680.229839077852,6.904149245605659,7.789513368284899,28.11158066535151,110.12194540668168,81293.27828264359,0.2271512257851922,533975.3098053235,2023.0,254049.5262820513,2013.0,356761.7907925408,254049.5262820513,534131.6897435897,558823.0064044289,0.0,57.91743668720054,86.43891170431213,73.6972963723477,76.79046885694727,68.59650924024639,78.28961327857633,49.07315195071868,68.33966461327857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00091552734375
2026-03-22 08:00:00,@@@,Великие Луки,2026,3,22,6,8,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1,0,1,120.0,0.0,3.0,0.017857142857142856,0.0,0.0,1524.7254166666664,0.0,-2.218452405672343,-2.222619072268052,-2.2142857390766344,80.75,1022.6577380952381,3.092344573565892,0.9750000073884925,,,,,6.009999999999999,1.6200000000000006,290318692.0,134884318.0,155434374.0,8512.237142857142,8547.085714285715,9950.607142857143,8514.400204081632,7653.827315890567,8835.478265306123,10692.708102414223,9423.594547619048,13990.357176707295,0.0,1.0,65.08928571428571,0.0,24680.229839077852,6.904149245605659,7.789513368284899,28.11158066535151,110.12194540668168,81293.27828264359,0.2271512257851922,533975.3098053235,2023.0,254049.5262820513,2013.0,356761.7907925408,254049.5262820513,534131.6897435897,558823.0064044289,0.0,57.91743668720054,86.43891170431213,73.6972963723477,76.79046885694727,68.59650924024639,78.28961327857633,49.07315195071868,68.33966461327857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00091552734375
2026-03-22 11:00:00,@@@,Великие Луки,2026,3,22,6,11,1.0,6.123233995736766e-17,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,1,0,1,120.0,0.0,3.0,0.017857142857142856,0.0,0.0,1524.7254166666664,0.0,-2.218452405672343,-2.222619072268052,-2.2142857390766344,80.75,1022.6577380952381,3.092344573565892,0.9750000073884925,,,,,6.009999999999999,1.6200000000000006,290318692.0,134884318.0,155434374.0,8512.237142857142,8547.085714285715,9950.607142857143,8514.400204081632,7653.827315890567,8835.478265306123,10692.708102414223,9423.594547619048,13990.357176707295,0.0,1.0,65.08928571428571,0.0,24680.229839077852,6.904149245605659,7.789513368284899,28.11158066535151,110.12194540668168,81293.27828264359,0.2271512257851922,533975.3098053235,2023.0,254049.5262820513,2013.0,356761.7907925408,254049.5262820513,534131.6897435897,558823.0064044289,0.0,57.91743668720054,86.43891170431213,73.6972963723477,76.79046885694727,68.59650924024639,78.28961327857633,49.07315195071868,68.33966461327857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00091552734375
2026-03-22 14:00:00,@@@,Великие Луки,2026,3,22,6,14,1.0,6.123233995736766e-17,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,1,0,1,120.0,0.0,3.0,0.017857142857142856,0.0,0.0,1524.7254166666664,0.0,-2.218452405672343,-2.222619072268052,-2.2142857390766344,80.75,1022.6577380952381,3.092344573565892,0.9750000073884925,,,,,6.009999999999999,1.6200000000000006,290318692.0,134884318.0,155434374.0,8512.237142857142,8547.085714285715,9950.607142857143,8514.400204081632,7653.827315890567,8835.478265306123,10692.708102414223,9423.594547619048,13990.357176707295,0.0,1.0,65.08928571428571,0.0,24680.229839077852,6.904149245605659,7.789513368284899,28.11158066535151,110.12194540668168,81293.27828264359,0.2271512257851922,533975.3098053235,2023.0,254049.5262820513,2013.0,356761.7907925408,254049.5262820513,534131.6897435897,558823.0064044289,0.0,57.91743668720054,86.43891170431213,73.6972963723477,76.79046885694727,68.59650924024639,78.28961327857633,49.07315195071868,68.33966461327857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00091552734375
2026-03-22 17:00:00,@@@,Великие Луки,2026,3,22,6,17,1.0,6.123233995736766e-17,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,1,0,1,120.0,0.0,3.0,0.017857142857142856,0.0,0.0,1524.7254166666664,0.0,-2.218452405672343,-2.222619072268052,-2.2142857390766344,80.75,1022.6577380952381,3.092344573565892,0.9750000073884925,,,,,6.009999999999999,1.6200000000000006,290318692.0,134884318.0,155434374.0,8512.237142857142,8547.085714285715,9950.607142857143,8514.400204081632,7653.827315890567,8835.478265306123,10692.708102414223,9423.594547619048,13990.357176707295,0.0,1.0,65.08928571428571,0.0,24680.229839077852,6.904149245605659,7.789513368284899,28.11158066535151,110.12194540668168,81293.27828264359,0.2271512257851922,533975.3098053235,2023.0,254049.5262820513,2013.0,356761.7907925408,254049.5262820513,534131.6897435897,558823.0064044289,0.0,57.91743668720054,86.43891170431213,73.6972963723477,76.79046885694727,68.59650924024639,78.28961327857633,49.07315195071868,68.33966461327857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00091552734375
2026-03-22 20:00:00,@@@,Великие Луки,2026,3,22,6,20,1.0,6.123233995736766e-17,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1,0,1,120.0,0.0,3.0,0.017857142857142856,0.0,0.0,1524.7254166666664,0.0,-2.218452405672343,-2.222619072268052,-2.2142857390766344,80.75,1022.6577380952381,3.092344573565892,0.9750000073884925,,,,,6.009999999999999,1.6200000000000006,290318692.0,134884318.0,155434374.0,8512.237142857142,8547.085714285715,9950.607142857143,8514.400204081632,7653.827315890567,8835.478265306123,10692.708102414223,9423.594547619048,13990.357176707295,0.0,1.0,65.08928571428571,0.0,24680.229839077852,6.904149245605659,7.789513368284899,28.11158066535151,110.12194540668168,81293.27828264359,0.2271512257851922,533975.3098053235,2023.0,254049.5262820513,2013.0,356761.7907925408,254049.5262820513,534131.6897435897,558823.0064044289,0.0,57.91743668720054,86.43891170431213,73.6972963723477,76.79046885694727,68.59650924024639,78.28961327857633,49.07315195071868,68.33966461327857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.00091552734375
